sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[344]779:GT	improved	-72506.361063	10	improved	72506.361063
[345]78002A:GT	improved	-26170.008995	10	improved	26170.008995
[346]78004:GT	improved	-30763.153325	10	improved	30763.153325
[347]78010:GT	improved	-32997.13253	10	improved	32997.13253
[348]78371A:GT	improved	-82408.346004	10	improved	82408.346004
[349]785:GT	improved	-56472.267027	10	improved	56472.267027
[350]78551S:GT	improved	-81382.80585	10	improved	81382.80585
[351]78599:GT	improved	-85876.090399	10	improved	85876.090399
[352]787:GT	improved	-74718.659976	10	improved	74718.659976
[353]7884:GT	improved	-74264.230058	10	improved	74264.230058
[354]790:GT	improved	-27108.065416	10	improved	27108.065416
[355]79028:GT	improved	-74261.170681	10	improved	74261.170681
[356]7903E:GT	improved	-56209.727154	10	improved	56209.727154
[357]79131:GT	improved	-70536.308146	10	improved	70536.308146
[358]792:GT	improved	-32920.973613	10	improved	32920.973613
[359]794:GT	improved	-18739.398658	10	improved	18739.398658
[360]795:GT	improved	-33592.018529	10	improved	33592.018529
[361]802:GT	improved	-80739.54588	10	improved	80739.54588
[362]806A:GT	improved	-64086.038573	10	improved	64086.038573
[363]807:GT	improved	-70811.612864	10	improved	70811.612864
[364]807D:GT	improved	-73740.43722	10	improved	73740.43722
[365]811A:GT	improved	-73783.708221	10	improved	73783.708221
[366]82huangzao4:GT	improved	-53776.403154	10	improved	53776.403154
[367]832:GT	improved	-42762.364016	10	improved	42762.364016
[368]83IBI3:GT	improved	-76878.212356	10	improved	76878.212356
[369]84-126-15-1:GT	improved	-80783.498208	10	improved	80783.498208
[370]85bai64:GT	improved	-80489.92294	10	improved	80489.92294
[371]87001:GT	improved	-82086.607706	10	improved	82086.607706
[372]8701:GT	improved	-79964.583672	10	improved	79964.583672
[373]87916W:GT	improved	-28781.009812	10	improved	28781.009812
[374]897:GT	improved	-83183.550642	10	improved	83183.550642
[375]8982:GT	improved	-81021.311164	10	improved	81021.311164
[376]9058:GT	improved	-85221.270877	10	improved	85221.270877
[377]9101-7:GT	improved	-57961.975808	10	improved	57961.975808
[378]91huang10:GT	improved	-77213.938353	10	improved	77213.938353
[379]91huang15:GT	improved	-77793.609016	10	improved	77793.609016
[380]91huang5:GT	improved	-75131.109772	10	improved	75131.109772
[381]926:GT	improved	-86700.553787	10	improved	86700.553787
[382]928:GT	improved	-86322.287441	10	improved	86322.287441
[383]92huang40:GT	improved	-80523.215636	10	improved	80523.215636
