"Taxa"	"HN"	"LN"
"349"	"PI656073"	6	3.84743805955967
"350"	"PI656074"	NA	NA
"351"	"PI656075"	5.66666666651114	3.50000000000007
"352"	"PI656076"	4.66666666651114	4.07853199213018
"353"	"PI656077"	5.5	4.2142944328077
"354"	"PI656078"	5.16666666666667	4.36137509782425
"355"	"PI656079"	5.33333333333334	3.62065969081129
"356"	"PI656080"	4.99999999969675	3.00000000000007
"357"	"PI656081"	5.33333333300669	3.26672354015336
"358"	"PI656082"	4.83333333333334	3.28732635747795
"359"	"PI656083"	5.66666666666667	3.48784612350096
"360"	"PI656085"	6.16666666666667	4.11137509782425
"361"	"PI656086"	5.83333333333333	4.26672354015336
"362"	"PI656087"	4.66666666666667	3.74999999999998
"363"	"PI656088"	5.16666666702818	3.49999999999998
"364"	"PI656089"	5.74999999984448	3.16666666666673
"365"	"PI656090"	5.83333333347326	3.80792917480406
"366"	"PI656091"	5.49999999967335	4.00000000000007
"367"	"PI656092"	5.25000000036151	3.99519865879685
"368"	"PI656093"	5.33333333333333	4.00000000000007
"369"	"PI656094"	5.66666666702818	3.66666666666673
"370"	"PI656095"	5.16666666666667	3.2142944328077
"371"	"PI656096"	5.49999999987981	4.30792917480406
"372"	"PI656097"	5.16666666665887	3.77804176449092
"373"	"PI656098"	5.5	4.00000000000007
"374"	"PI656099"	4	3.66666666666666
"375"	"PI656100"	NA	NA
"376"	"PI656101"	4.83333333333333	4.00000000000001
"377"	"PI656102"	5.83333333347326	3.66666666666664
"378"	"PI656103"	5.16666666666667	3.66666666666673
"379"	"PI656104"	5.5	4
"380"	"PI656105"	5.16666666666667	4.01410472622633
"381"	"PI656106"	5.83333333333333	3.49519865879685
"382"	"PI656107"	6.00000000013993	3.49999999999998
"383"	"PI656108"	4.66666666665887	3.00000000000007
"384"	"PI656109"	5.50000000020599	4.56823058346711
"385"	"PI656110"	5.9999999999922	3.3333333333333
"386"	"PI656111"	4.33333333332553	4.00000000000001
"387"	"PI656112"	5.16666666688046	3.33333333333339
"388"	"PI656113"	5.16666666651114	3.83333333333334
"389"	"PI656114"	NA	NA
"390"	"PI656115"	NA	NA
"391"	"PI656116"	NA	NA
"392"	"PI656118"	5	3.49999999999996
"393"	"PI656119"	5.83333333354712	3.65451279016763
"394"	"PI656120"	5	4.00000000000007
"395"	"PI656121"	5.50000000036151	3.83333333333333
"396"	"PI659691"	5.66666666666667	3.83333333333333
"397"	"PI659694"	5.25	4
"398"	"PI659695"	5.83333333369485	4.11137509782425
"399"	"PI659696"	5.16666666666667	4.04762776614103
