species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild
sorghum	V61	landrace	-244626.962064	30767	10	7.95095271115156	7.95469518085749	0.999529526949701
sorghum	V62	landrace	-166958.0784663	20943	10	7.97202303711503	7.95469518085749	1.00217831807047
sorghum	V63	landrace	-158794.1590967	19838	10	8.00454476745136	7.95469518085749	1.0062666872156
sorghum	V64	landrace	-235431.0995465	29620	10	7.94838283411546	7.95469518085749	0.999206462774687
sorghum	V65	landrace	-170275.6544919	21294	10	7.99641469389969	7.95469518085749	1.00524464006397
sorghum	V66	landrace	-180841.8701816	22575	10	8.01071407227464	7.95469518085749	1.00704224236674
sorghum	V67	landrace	-354382.0622477	44532	10	7.95791929955313	7.95469518085749	1.00040531014983
sorghum	V68	landrace	-242465.9841681	30379	10	7.98136818750123	7.95469518085749	1.00335311486327
sorghum	V69	landrace	-205742.0996393	25843	10	7.96123126724065	7.95469518085749	1.00082166396506
sorghum	V70	landrace	-157785.89831	19764	10	7.98350021807327	7.95469518085749	1.00362113651886
sorghum	V71	landrace	-163374.1061216	20483	10	7.97608290394962	7.95469518085749	1.00268869172305
sorghum	V72	landrace	-250285.7220802	31409	10	7.96859887548792	7.95469518085749	1.00174786013974
sorghum	V73	landrace	-248966.8263354	31202	10	7.97919448546247	7.95469518085749	1.00307985460762
sorghum	V74	landrace	-238215.1137565	29868	10	7.97559641611424	7.95469518085749	1.00262753440346
sorghum	V75	landrace	-230648.919428	28895	10	7.98231249101921	7.95469518085749	1.00347182507108
sorghum	V76	landrace	-231314.7378119	29026	10	7.9692254465617	7.95469518085749	1.00182662759211
sorghum	V77	landrace	-169299.7164533	21225	10	7.97642951487868	7.95469518085749	1.00273226484825
sorghum	V78	landrace	-235760.4268383	29610	10	7.96218935624114	7.95469518085749	1.00094210717234
sorghum	V79	landrace	-238690.1993972	29956	10	7.96802641865403	7.95469518085749	1.00167589549234
sorghum	V80	landrace	-218551.6908691	27438	10	7.96529232703185	7.95469518085749	1.0013321875865
sorghum	V81	landrace	-241758.4857243	30382	10	7.95729332250346	7.95469518085749	1.00032661737337
sorghum	V82	landrace	-235131.5127611	29484	10	7.97488511603243	7.95469518085749	1.00253811550486
sorghum	V83	landrace	-217266.8675155	27288	10	7.96199309276972	7.95469518085749	1.00091743451462
sorghum	V84	landrace	-253201.6285129	31830	10	7.95481082352812	7.95469518085749	1.0000145376621
sorghum	V85	landrace	-199271.802575	24980	10	7.9772539061249	7.95469518085749	1.00283590065421
sorghum	V86	landrace	-227895.7832345	28551	10	7.98205958581136	7.95469518085749	1.00344003187196
sorghum	V87	landrace	-213212.6985119	26717	10	7.98041316434854	7.95469518085749	1.00323305706961
sorghum	V88	landrace	-237630.98281	29768	10	7.98276615190809	7.95469518085749	1.00352885565221
sorghum	V89	landrace	-245211.6568593	30848	10	7.94902933283519	7.95469518085749	0.99928773536968
sorghum	V90	landrace	-168345.7025595	21094	10	7.98073871999147	7.95469518085749	1.00327398329437
sorghum	V91	landrace	-236107.9499259	29729	10	7.9420078013354	7.95469518085749	0.998405045167208
sorghum	V92	landrace	-203456.5891591	25592	10	7.95000739133714	7.95469518085749	0.999410688981316
sorghum	V93	landrace	-246291.4372322	30839	10	7.98636263277668	7.95469518085749	1.00398097616555
sorghum	V94	landrace	-171685.5126131	21589	10	7.9524532221548	7.95469518085749	0.999718159068108
sorghum	V95	landrace	-153760.3535817	19290	10	7.97098774399689	7.95469518085749	1.00204816938537
sorghum	V96	landrace	-139288.6212804	17386	10	8.01153924309214	7.95469518085749	1.0071459761741
sorghum	V97	landrace	-132818.4926263	16605	10	7.99870476520927	7.95469518085749	1.00553252932403
sorghum	V98	landrace	-160808.8724754	20203	10	7.9596531443548	7.95469518085749	1.00062327510792
sorghum	V99	landrace	-185810.0825951	23383	10	7.94637482765685	7.95469518085749	0.998954032428462
sorghum	V100	landrace	-196764.3275894	24721	10	7.9594000076615	7.95469518085749	1.00059145280832
sorghum	V101	landrace	-201048.183326	25255	10	7.96072790837458	7.95469518085749	1.00075838575582
sorghum	V102	landrace	-186817.4497042	23528	10	7.94021802551003	7.95469518085749	0.998180049012777
sorghum	V103	landrace	-198408.7101227	24976	10	7.94397462054372	7.95469518085749	0.998652297785141
sorghum	V104	landrace	-217053.9086884	27268	10	7.96002305590436	7.95469518085749	1.00066977739885
sorghum	V105	landrace	-180896.5180061	22678	10	7.97674036538055	7.95469518085749	1.00277134246151
sorghum	V5	wild	-269708.9137608	34014	10	7.92935008410655	7.95469518085749	0.996813819238236
sorghum	V6	wild	-355276.1143394	44552	10	7.97441448957174	7.95469518085749	1.00247895214913
sorghum	V7	wild	-291402.2976548	36554	10	7.97183065204355	7.95469518085749	1.00215413297386
sorghum	V8	wild	-337480.8266785	42461	10	7.94801880969596	7.95469518085749	0.999160700566176
sorghum	V9	wild	-376761.9853728	47372	10	7.95326322242675	7.95469518085749	0.999819985757067
sorghum	V10	wild	-293371.7554574	36972	10	7.93497120678892	7.95469518085749	0.997520461360225
sorghum	V11	wild	-322990.1516216	40597	10	7.95601033627115	7.95469518085749	1.00016533071146
sorghum	V12	wild	-322252.9562627	40549	10	7.94724792874547	7.95469518085749	0.999063791642206
sorghum	V13	wild	-318806.8265987	40207	10	7.92913737903101	7.95469518085749	0.996787079674909
sorghum	V14	wild	-265438.1792008	33305	10	7.96991980786068	7.95469518085749	1.00191391708382
sorghum	V15	wild	-225930.7221281	28382	10	7.96035241096822	7.95469518085749	1.00071118125611
sorghum	V16	wild	-294965.8898009	37062	10	7.95871485081485	7.95469518085749	1.00050532042598
sorghum	V17	wild	-280897.3829572	35272	10	7.96374980032887	7.95469518085749	1.00113827359384
sorghum	V18	wild	-427158.2420785	53630	10	7.96491221477718	7.95469518085749	1.00128440294535
sorghum	V19	wild	-269942.997979	33851	10	7.97444678086319	7.95469518085749	1.00248301154936
sorghum	V20	wild	-376447.9947389	47324	10	7.95469518085749	7.95469518085749	1
