sample	cutoff	miss	Genetic_load	N_del
PI656082_PI656082	25%	miss50	-1585331.8377779	160933
PI656083_PI656083	25%	miss50	-1388562.3563426	257178
PI656085_PI656085	25%	miss50	-1160746.4464204	149144
PI656086_PI656086	25%	miss50	-1296252.2693618	132282
PI656087_PI656087	25%	miss50	-1127855.6319805	117599
PI656088_PI656088	25%	miss50	-1513113.1062672	161262
PI656089_PI656089	25%	miss50	-1502087.6690468	160340
PI656090_PI656090	25%	miss50	-1143983.114316	121387
PI656091_PI656091	25%	miss50	-1545413.1316039	198363
PI656092_PI656092	25%	miss50	-1417143.0723314	143301
PI656093_PI656093	25%	miss50	-1126598.9226293	116828
PI656094_PI656094	25%	miss50	-1120522.523693	114988
PI656095_PI656095	25%	miss50	-1315198.0727122	137660
PI656096_PI656096	25%	miss50	-1144688.2340038	117258
PI656097_PI656097	25%	miss50	-1372272.0969669	138061
PI656098_PI656098	25%	miss50	-998403.384765501	109939
PI656099_PI656099	25%	miss50	-1494697.6565078	160819
PI656100_PI656100	25%	miss50	-1641610.9721557	174428
PI656101_PI656101	25%	miss50	-1457212.9033467	144936
PI656102_PI656102	25%	miss50	-1007844.6727793	101609
PI656103_PI656103	25%	miss50	-1372636.1867374	145650
PI656104_PI656104	25%	miss50	-1503575.0760014	254118
PI656105_PI656105	25%	miss50	-1116229.9839813	119889
PI656106_PI656106	25%	miss50	-1083141.664677	118722
PI656107_PI656107	25%	miss50	-1450053.6155263	189354
PI656108_PI656108	25%	miss50	-1222704.7651272	124562
PI656109_PI656109	25%	miss50	-1367305.7835315	152033
PI656110_PI656110	25%	miss50	-1315313.1238091	155860
PI656111_PI656111	25%	miss50	-1104899.5340978	110859
PI656112_PI656112	25%	miss50	-1249631.9759873	131767
PI656113_PI656113	25%	miss50	-1403444.2992202	151760
PI656114_PI656114	25%	miss50	-1255188.6060907	162235
PI656115_PI656115	25%	miss50	-1639533.4302675	168882
PI656116_PI656116	25%	miss50	-1209905.6751728	154734
PI656118_PI656118	25%	miss50	-1110028.0667532	117994
PI656119_PI656119	25%	miss50	-1218013.4577758	149759
PI656120_PI656120	25%	miss50	-1398305.0400449	145619
PI656121_PI656121	25%	miss50	-1200772.9000524	129274
PI659691_PI659691	25%	miss50	-1274340.9459588	178647
PI659694_PI659694	25%	miss50	-1605106.8428858	167794
PI659695_PI659695	25%	miss50	-1348931.7999741	144028
PI659696_PI659696	25%	miss50	-1338803.8622499	137530
