sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[8]TIL02:GT	wild	5%	-248872.147354	10	248872.147354
[9]TIL03:GT	wild	5%	-267934.237346	10	267934.237346
[10]TIL04-TIP285:GT	wild	5%	-251732.491406	10	251732.491406
[11]TIL04-TIP454:GT	wild	5%	-261440.968484	10	261440.968484
[12]TIL05:GT	wild	5%	-273056.76569	10	273056.76569
[13]TIL06-TIP260:GT	wild	5%	-250674.228933	10	250674.228933
[14]TIL06-TIP496:GT	wild	5%	-248922.383981	10	248922.383981
[15]TIL07:GT	wild	5%	-268434.719116	10	268434.719116
[16]TIL09:GT	wild	5%	-270860.776393	10	270860.776393
[17]TIL10:GT	wild	5%	-261965.134728	10	261965.134728
[18]TIL11:GT	wild	5%	-270722.364443	10	270722.364443
[19]TIL12:GT	wild	5%	-243158.7404	10	243158.7404
[20]TIL14-TIP498:GT	wild	5%	-266190.077265	10	266190.077265
[21]TIL15:GT	wild	5%	-251204.188421	10	251204.188421
[22]TIL16:GT	wild	5%	-250947.163198	10	250947.163198
[23]TIL17:GT	wild	5%	-264456.593597	10	264456.593597
[24]TIL25-TIP489:GT	wild	5%	-248617.590993	10	248617.590993
