sample	group	N_del_sum	n_chr_rows
[669]jiao51:GT	improved	84745	10
[670]jingnuo2:GT	improved	82115	10
[671]jinsui54:GT	improved	83490	10
[672]jiu138-5:GT	improved	78693	10
[673]jiu22:GT	improved	77847	10
[674]jiutai1:GT	improved	67477	10
[675]K10:GT	improved	76606	10
[676]K12:GT	improved	82826	10
[677]K14:GT	improved	78729	10
[678]K22:GT	improved	75458	10
[679]K514:GT	improved	82480	10
[680]Ki11:GT	improved	80817	10
[681]Ki21:GT	improved	80601	10
[682]KI3:GT	improved	80864	10
[683]KP3130:GT	improved	73547	10
[684]Ky21:GT	improved	75616	10
[685]L005:GT	improved	83089	10
[686]L05-6:GT	improved	47043	10
[687]L061F:GT	improved	73070	10
[688]L061M:GT	improved	71612	10
[689]L069:GT	improved	81518	10
[690]L-1:GT	improved	83299	10
[691]L105:GT	improved	75153	10
[692]L127:GT	improved	75793	10
[693]L135:GT	improved	76522	10
[694]L139:GT	improved	77710	10
[695]L473:GT	improved	74831	10
[696]L578:GT	improved	77296	10
[697]La2-4:GT	improved	48971	10
[698]lan766-4-2:GT	improved	71101	10
[699]LD61:GT	improved	80736	10
[700]LH1:GT	improved	69219	10
[701]LH119:GT	improved	12631	10
[702]LH123HT:GT	improved	74995	10
[703]LH127:GT	improved	76700	10
[704]LH128:GT	improved	79092	10
[705]LH132:GT	improved	19042	10
[706]LH143:GT	improved	61476	10
[707]LH145:GT	improved	65623	10
[708]LH146HT:GT	improved	44117	10
[709]LH149:GT	improved	19138	10
[710]LH150:GT	improved	79097	10
[711]LH156:GT	improved	78319	10
[712]LH160:GT	improved	76797	10
[713]LH162:GT	improved	78141	10
[714]LH190:GT	improved	16307	10
[715]LH191:GT	improved	43530	10
[716]LH192:GT	improved	27104	10
[717]LH193:GT	improved	25992	10
[718]LH194:GT	improved	28184	10
[719]LH196:GT	improved	13354	10
[720]LH202:GT	improved	8199	10
